names,R,G,B,Area,Label
Lola1,129,9,26,43283,4
Lola2,145,41,52,43283,4
Lola3,145,41,52,43283,4
Lola4,130,10,27,43283,4
M1,186,52,56,133255,1
M11,187,51,56,133255,1
M12,185,52,55,133255,1
M13,185,51,55,133255,1
M14,187,52,56,133255,1
M2,203,88,78,174093,1
M21,203,88,78,174093,1
M22,205,85,76,174093,1
M23,204,90,79,174093,1
M24,203,83,74,174093,1
M3,196,81,76,136564,1
M31,199,83,78,136564,1
M32,194,79,74,136564,1
M33,196,82,76,136564,1
M34,197,80,75,136564,1
Maggie,161,21,34,51402,4
Maggie1,167,30,41,51402,4
Maggie2,160,20,34,51402,4
Maggie3,160,20,33,51402,4
Maggie4,169,41,50,51402,4
N1,198,86,76,169112,1
N11,201,89,79,169112,1
N12,196,80,71,169112,1
N13,197,82,73,169112,1
N14,199,87,77,169112,1
N2,207,103,91,135732,1
N21,209,106,95,135732,1
N22,205,99,88,135732,1
N23,206,103,91,135732,1
N24,207,102,91,135732,1
N3,176,33,43,106410,2
N31,179,35,45,106410,2
N32,173,32,42,106410,2
N33,175,33,43,106410,2
N34,177,33,44,106410,2
N4,204,104,95,162998,1
N41,205,106,96,162998,1
N42,202,103,93,162998,1
N43,203,101,92,162998,1
N44,205,106,97,162998,1
Noah,155,15,32,77678,4
Noah1,157,17,34,77678,4
Noah2,150,12,29,77678,4
Noah3,154,15,31,77678,4
Noah4,155,13,31,77678,4
Odin,80,4,18,54886,4
Odin1,81,4,19,54886,4
Odin2,125,11,29,54886,4
Odin3,80,4,18,54886,4
Odin4,80,4,18,54886,4
Pineau,168,26,40,56629,3
Pineau1,167,26,40,56629,3
Pineau2,170,29,42,56629,3
Pineau3,169,30,42,56629,3
Pineau4,167,26,40,56629,3
Pippa,162,26,40,90574,3
Pippa1,164,31,45,90574,3
Pippa2,160,24,38,90574,3
Pippa3,155,16,34,90574,3
Pippa4,161,27,41,90574,3
Rory,147,11,29,64778,4
Rory1,134,4,23,64778,4
Rory2,148,11,30,64778,4
Rory3,143,6,25,64778,4
Rory4,122,1,19,64778,4
Rossi,157,44,54,57743,4
Rossi1,161,44,55,57743,4
Rossi2,156,29,43,57743,4
Rossi3,139,2,20,57743,4
Rossi4,156,21,37,57743,4
Shifty,143,25,41,76843,4
Shifty1,162,67,75,76843,4
Shifty2,151,27,42,76843,4
Shifty3,142,23,40,76843,4
Shifty4,144,26,42,76843,4
Sula,172,30,43,53324,3
Sula1,172,29,43,53324,3
Sula2,174,35,48,53324,3
Sula3,172,30,44,53324,3
Sula4,172,30,43,53324,3
